#tail	head	KSP index
RELA	NFKB1	1
UNC5CL	RELA	2
NFKBIA	MCM5	3
TNFRSF1B	TRAF2	4
UNC5CL	RELA	5
UNC5CL	RELA	6
NFKBIB	POLR1D	7
TRAF2	IKBKB	8
UNC5CL	RELA	9
UNC5CL	RELA	10
TNFRSF8	TRAF2	11
RELA	NFKB1	12
TNFRSF1B	TNFRSF1A	13
RELA	NFKBIB	14
RELB	DPF2	15
TRAF1	IKBKG	16
RELA	EP300	17
TNFRSF1B	TRAF2	18
NFKBIB	POLR1D	19
TRAF6	MAP3K14	20
IKBKB	NFKBIB	21
NFKBIB	POLR1C	22
UNC5CL	RELA	23
TNFRSF11A	TRAF6	24
TNFRSF1B	BTRC	25
TNFRSF8	TRAF2	26
BTRC	NFKB1	27
TRAF6	TAB3	28
TNFRSF8	TRAF2	29
RELA	TRIB3	30
NFKB1	NFKBIZ	31
TNFRSF8	TRAF2	32
TRAF2	IKBKB	33
IKBKB	NFKB1	34
TNFRSF8	TRAF2	35
TNFRSF11A	TRAF6	36
TRAF6	NR2C2	37
NFKBIB	POLR1E	38
TNFRSF8	TRAF2	39
TNFRSF11A	TRAF6	40
TRAF6	MAP3K14	41
IKBKG	NFKB2	42
RELB	SMARCE1	43
TNFRSF11A	TRAF6	44
UNC5CL	RELA	45
UNC5CL	RELA	46
RELA	NFKB2	47
TNFRSF11A	TRAF6	48
NFKB1	BCL3	49
MAP3K14	IKBKB	50
TNFRSF1B	BTRC	51
RELB	SMARCC2	52
BTRC	NFKB1	53
TNFRSF8	TRAF2	54
RELA	EP300	55
TNFRSF1B	TNFRSF1A	56
TNFRSF8	TRAF2	57
TNFRSF11A	TRAF6	58
MAP3K14	IKBKB	59
RELA	NFKBIA	60
BTRC	NFKB1	61
TNFRSF11A	TRAF6	62
TRAF2	IKBKB	63
TNFRSF1A	IKBKG	64
TRAF2	IKBKB	65
TNFRSF11A	TRAF6	66
TNFRSF1B	BTRC	67
TRAF6	MAP3K14	68
MAP3K14	NFKB2	69
TNFRSF8	TRAF2	70
TNFRSF11A	TRAF6	71
TNFRSF11A	TRAF6	72
TAB3	TRAF2	73
TNFRSF8	TRAF2	74
RELA	PML	75
NFKBIB	POLR2H	76
MAP3K14	IKBKB	77
TRAF2	IKBKB	78
BTRC	NFKBIB	79
IKBKB	NFKBIB	80
TNFRSF8	TRAF2	81
TRAF2	IKBKB	82
IKBKB	NFKB2	83
TRAF6	MAP3K14	84
TNFRSF8	TRAF2	85
UNC5CL	RELA	86
NFKB1	RELB	87
UNC5CL	RELA	88
TNFRSF8	TRAF2	89
RELA	NFKBIB	90
TNFRSF1B	TRAF2	91
IKBKB	NFKB2	92
IKBKB	RELA	93
TNFRSF1B	BTRC	94
TNFRSF8	TRAF2	95
MAP3K14	IKBKB	96
MAP3K14	NFKB2	97
TRAF2	TAB3	98
RELA	RELB	99
RELA	HDAC1	100
NFKB2	MAP3K14	101
NFKB1	RELB	102
IKBKB	RELA	103
NFKB2	RELB	104
BTRC	NFKBIB	105
TRAF2	CHUK	106
IKBKB	NFKB2	107
RELB	SMARCA4	108
UNC5CL	RELA	109
IKBKB	NFKBIB	110
NFKB2	GTF2I	111
TNFRSF1B	BTRC	112
MAP3K14	NFKB2	113
RELA	REL	114
NFKBIB	POLR1A	115
RELB	SMARCC1	116
TNFRSF8	TRAF2	117
TRAF2	TRADD	118
IKBKB	TNFRSF1A	119
TNFRSF11A	TRAF6	120
TRAF2	IKBKB	121
IKBKB	RELA	122
BTRC	NFKBIB	123
TRAF2	IKBKB	124
BTRC	NFKB1	125
TRAF2	COPS5	126
TNFRSF11A	TRAF6	127
TNFRSF8	TRAF2	128
TAB3	NR2C2	129
REL	PAPOLA	130
TNFRSF8	TRAF2	131
FBXW11	TNFRSF1B	132
NFKBIB	POLR2L	133
TNFRSF1B	BTRC	134
NFKBIA	MCM7	135
TRAF2	CHUK	136
IKBKB	NFKB2	137
NFKBIB	POLR2H	138
RELB	SMARCA4	139
UNC5CL	RELA	140
TRAF2	IKBKB	141
BTRC	NFKBIB	142
NFKBIB	POLR2L	143
TRAF6	MAP3K14	144
TRAF6	MAP3K14	145
TNFRSF8	TRAF2	146
TNFRSF11A	TRAF6	147
TRAF2	IKBKB	148
RELA	NFKBIB	149
MAP3K14	IKBKB	150
RELA	HDAC1	151
TRAF6	MAP3K14	152
MAP3K14	IKBKB	153
TNFRSF1B	BTRC	154
NFKBIA	MCM5	155
RELA	NFKBIA	156
TRAF2	PEG3	157
UNC5CL	RELA	158
UNC5CL	RELA	159
NFKB1	RELA	160
TNFRSF1B	BTRC	161
TRAF6	ZFAND5	162
TNFRSF1B	BTRC	163
RELB	SMARCC2	164
TRAF2	FADD	165
UNC5CL	RELA	166
RELA	PIAS3	167
TNFRSF11A	TRAF6	168
UNC5CL	RELA	169
NFKB1	NFKBIZ	170
TRAF2	IKBKB	171
NFKB1	RELB	172
TAB3	TRAF2	173
TRAF2	TAB3	174
NFKB2	RELB	175
TRAF6	TAB3	176
BTRC	NFKB1	177
RELA	TNIP2	178
RELA	HDAC2	179
ZFAND5	TNFAIP3	180
TNFRSF1B	TNFRSF1A	181
RELA	NFKBIB	182
CHUK	CREBBP	183
RELB	SMARCC1	184
BTRC	NFKB1	185
NFKBIB	POLR2H	186
MAP3K14	IKBKB	187
TNFRSF11A	TRAF6	188
TNFRSF11A	TRAF6	189
REL	PAPOLA	190
NFKBIA	IKBKB	191
TNFRSF1B	BTRC	192
MAP3K14	IKBKB	193
RELB	SMARCE1	194
NFKB1	REL	195
RELA	NFKBIA	196
RELA	TRIB3	197
BTRC	NFKBIA	198
TNFRSF11A	TRAF6	199
IKBKB	RELA	200
NFKB2	RELB	201
MAP3K14	NFKB2	202
TRAF6	MAP3K14	203
TRAF2	MAP3K5	204
TNFRSF8	TRAF2	205
TRAF2	MAP3K1	206
TRAF6	MAP3K14	207
IKBKB	NFKB2	208
TRAF6	MAP3K14	209
UNC5CL	RELA	210
TNFRSF1A	EED	211
BTRC	NFKB1	212
TNFRSF8	TRAF2	213
IKBKB	NFKB2	214
TNFRSF1B	TNFRSF1A	215
TNFRSF11A	TRAF6	216
TNFRSF11A	TRAF6	217
IKBKB	NFKBIB	218
NFKB2	REL	219
TNFRSF11A	TRAF6	220
RELA	NFKBIA	221
TNFRSF1A	IKBKG	222
FADD	STAT1	223
IKBKB	RELA	224
IKBKB	NFKBIB	225
TRAF2	PEG3	226
TRAF2	IKBKB	227
NFKB2	REL	228
MAP3K14	IKBKB	229
NFKB2	REL	230
TRAF6	MAP3K14	231
NFKBIB	POLR2L	232
TRAF6	MAP3K14	233
MAP3K14	CHUK	234
TNFAIP3	TNFRSF1A	235
TNFRSF11A	TRAF6	236
NFKBIB	POLR1A	237
MAP3K14	IKBKB	238
TAB3	TRAF2	239
RELB	SMARCC1	240
RELB	SMARCE1	241
RELA	HDAC1	242
IKBKB	RELA	243
RELA	TRIB3	244
TNFRSF1A	IKBKG	245
TNFRSF1B	BTRC	246
NFKBIB	POLR1B	247
NFKBIB	POLR1D	248
NFKBIB	POLR1E	249
TNFRSF11A	TRAF6	250
CHUK	CREBBP	251
UNC5CL	RELA	252
TRAF2	COPS5	253
IKBKB	RELA	254
IKBKB	RELA	255
BTRC	NFKB1	256
RELA	HDAC2	257
NFKB1	RELA	258
